RUN	petApp.Journey	journey	1593606371309	 	3.3.1
REQUEST	36		Verify pet to the store as per statushttps://petstore.swagger.io	1593606391669	1593606391867	OK	 
USER	Add a new pet to the store	36	END	1593606390868	1593606391872
REQUEST	37		Add a new pet to the storehttps://petstore.swagger.io	1593606391367	1593606392172	OK	 
USER	Add a new pet to the store	39	START	1593606392369	1593606392369
REQUEST	37		Verify pet to the store as per statushttps://petstore.swagger.io	1593606392176	1593606392376	OK	 
USER	Add a new pet to the store	37	END	1593606391366	1593606392380
REQUEST	38		Add a new pet to the storehttps://petstore.swagger.io	1593606391868	1593606392676	OK	 
USER	Add a new pet to the store	40	START	1593606392854	1593606392854
REQUEST	38		Verify pet to the store as per statushttps://petstore.swagger.io	1593606392677	1593606392877	OK	 
USER	Add a new pet to the store	38	END	1593606391865	1593606392878
REQUEST	39		Add a new pet to the storehttps://petstore.swagger.io	1593606392370	1593606393160	OK	 
USER	Add a new pet to the store	41	START	1593606393355	1593606393355
REQUEST	40		Add a new pet to the storehttps://petstore.swagger.io	1593606392855	1593606393683	OK	 
REQUEST	39		Verify pet to the store as per statushttps://petstore.swagger.io	1593606393161	1593606393736	OK	 
USER	Add a new pet to the store	39	END	1593606392369	1593606393740
USER	Add a new pet to the store	42	START	1593606393867	1593606393867
REQUEST	40		Verify pet to the store as per statushttps://petstore.swagger.io	1593606393686	1593606393883	OK	 
USER	Add a new pet to the store	40	END	1593606392854	1593606393887
REQUEST	41		Add a new pet to the storehttps://petstore.swagger.io	1593606393357	1593606394154	OK	 
REQUEST	41		Verify pet to the store as per statushttps://petstore.swagger.io	1593606394156	1593606394353	OK	 
USER	Add a new pet to the store	41	END	1593606393355	1593606394356
USER	Add a new pet to the store	43	START	1593606394364	1593606394364
REQUEST	42		Add a new pet to the storehttps://petstore.swagger.io	1593606393869	1593606394683	OK	 
USER	Add a new pet to the store	44	START	1593606394866	1593606394866
REQUEST	42		Verify pet to the store as per statushttps://petstore.swagger.io	1593606394687	1593606394889	OK	 
USER	Add a new pet to the store	42	END	1593606393867	1593606394893
REQUEST	43		Add a new pet to the storehttps://petstore.swagger.io	1593606394367	1593606395221	OK	 
USER	Add a new pet to the store	45	START	1593606395370	1593606395370
REQUEST	43		Verify pet to the store as per statushttps://petstore.swagger.io	1593606395225	1593606395428	OK	 
USER	Add a new pet to the store	43	END	1593606394364	1593606395431
REQUEST	44		Add a new pet to the storehttps://petstore.swagger.io	1593606394869	1593606395664	OK	 
USER	Add a new pet to the store	46	START	1593606395865	1593606395865
REQUEST	44		Verify pet to the store as per statushttps://petstore.swagger.io	1593606395666	1593606395864	OK	 
USER	Add a new pet to the store	44	END	1593606394866	1593606395870
REQUEST	45		Add a new pet to the storehttps://petstore.swagger.io	1593606395371	1593606396180	OK	 
USER	Add a new pet to the store	47	START	1593606396366	1593606396366
REQUEST	45		Verify pet to the store as per statushttps://petstore.swagger.io	1593606396182	1593606396382	OK	 
USER	Add a new pet to the store	45	END	1593606395370	1593606396383
REQUEST	46		Add a new pet to the storehttps://petstore.swagger.io	1593606395869	1593606396670	OK	 
USER	Add a new pet to the store	48	START	1593606396864	1593606396864
REQUEST	46		Verify pet to the store as per statushttps://petstore.swagger.io	1593606396673	1593606396872	OK	 
USER	Add a new pet to the store	46	END	1593606395865	1593606396876
REQUEST	47		Add a new pet to the storehttps://petstore.swagger.io	1593606396367	1593606397160	OK	 
REQUEST	47		Verify pet to the store as per statushttps://petstore.swagger.io	1593606397165	1593606397364	OK	 
USER	Add a new pet to the store	47	END	1593606396366	1593606397367
USER	Add a new pet to the store	49	START	1593606397368	1593606397368
REQUEST	48		Add a new pet to the storehttps://petstore.swagger.io	1593606396866	1593606397660	OK	 
USER	Add a new pet to the store	50	START	1593606397865	1593606397865
REQUEST	48		Verify pet to the store as per statushttps://petstore.swagger.io	1593606397664	1593606397865	OK	 
USER	Add a new pet to the store	48	END	1593606396864	1593606397867
REQUEST	49		Add a new pet to the storehttps://petstore.swagger.io	1593606397369	1593606398168	OK	 
REQUEST	49		Verify pet to the store as per statushttps://petstore.swagger.io	1593606398170	1593606398368	OK	 
USER	Add a new pet to the store	49	END	1593606397368	1593606398370
USER	Add a new pet to the store	51	START	1593606398373	1593606398373
REQUEST	50		Add a new pet to the storehttps://petstore.swagger.io	1593606397866	1593606398667	OK	 
REQUEST	50		Verify pet to the store as per statushttps://petstore.swagger.io	1593606398669	1593606398864	OK	 
USER	Add a new pet to the store	50	END	1593606397865	1593606398867
USER	Add a new pet to the store	52	START	1593606398949	1593606398949
REQUEST	51		Add a new pet to the storehttps://petstore.swagger.io	1593606398375	1593606399202	OK	 
USER	Add a new pet to the store	53	START	1593606399376	1593606399376
REQUEST	51		Verify pet to the store as per statushttps://petstore.swagger.io	1593606399208	1593606399413	OK	 
USER	Add a new pet to the store	51	END	1593606398373	1593606399415
REQUEST	52		Add a new pet to the storehttps://petstore.swagger.io	1593606398951	1593606399834	OK	 
USER	Add a new pet to the store	54	START	1593606399859	1593606399859
REQUEST	52		Verify pet to the store as per statushttps://petstore.swagger.io	1593606399840	1593606400043	OK	 
USER	Add a new pet to the store	52	END	1593606398949	1593606400045
REQUEST	53		Add a new pet to the storehttps://petstore.swagger.io	1593606399390	1593606400219	OK	 
USER	Add a new pet to the store	55	START	1593606400354	1593606400354
REQUEST	53		Verify pet to the store as per statushttps://petstore.swagger.io	1593606400221	1593606400423	OK	 
USER	Add a new pet to the store	53	END	1593606399376	1593606400426
REQUEST	54		Add a new pet to the storehttps://petstore.swagger.io	1593606399860	1593606400634	OK	 
REQUEST	54		Verify pet to the store as per statushttps://petstore.swagger.io	1593606400635	1593606400827	OK	 
USER	Add a new pet to the store	54	END	1593606399859	1593606400831
USER	Add a new pet to the store	56	START	1593606400869	1593606400869
REQUEST	55		Add a new pet to the storehttps://petstore.swagger.io	1593606400355	1593606401147	OK	 
REQUEST	55		Verify pet to the store as per statushttps://petstore.swagger.io	1593606401150	1593606401347	OK	 
USER	Add a new pet to the store	55	END	1593606400354	1593606401351
USER	Add a new pet to the store	57	START	1593606401364	1593606401364
REQUEST	56		Add a new pet to the storehttps://petstore.swagger.io	1593606400871	1593606401647	OK	 
REQUEST	56		Verify pet to the store as per statushttps://petstore.swagger.io	1593606401649	1593606401853	OK	 
USER	Add a new pet to the store	56	END	1593606400869	1593606401855
USER	Add a new pet to the store	58	START	1593606401894	1593606401894
REQUEST	57		Add a new pet to the storehttps://petstore.swagger.io	1593606401367	1593606402158	OK	 
REQUEST	57		Verify pet to the store as per statushttps://petstore.swagger.io	1593606402161	1593606402358	OK	 
USER	Add a new pet to the store	57	END	1593606401364	1593606402359
USER	Add a new pet to the store	59	START	1593606402369	1593606402369
REQUEST	58		Add a new pet to the storehttps://petstore.swagger.io	1593606401942	1593606402753	OK	 
USER	Add a new pet to the store	60	START	1593606402870	1593606402870
REQUEST	58		Verify pet to the store as per statushttps://petstore.swagger.io	1593606402754	1593606402954	OK	 
USER	Add a new pet to the store	58	END	1593606401894	1593606402957
REQUEST	59		Add a new pet to the storehttps://petstore.swagger.io	1593606402370	1593606403143	OK	 
REQUEST	59		Verify pet to the store as per statushttps://petstore.swagger.io	1593606403145	1593606403337	OK	 
USER	Add a new pet to the store	59	END	1593606402369	1593606403339
USER	Add a new pet to the store	61	START	1593606403366	1593606403366
REQUEST	60		Add a new pet to the storehttps://petstore.swagger.io	1593606402871	1593606403646	OK	 
REQUEST	60		Verify pet to the store as per statushttps://petstore.swagger.io	1593606403648	1593606403838	OK	 
USER	Add a new pet to the store	60	END	1593606402870	1593606403840
USER	Add a new pet to the store	62	START	1593606403867	1593606403867
REQUEST	61		Add a new pet to the storehttps://petstore.swagger.io	1593606403368	1593606404173	OK	 
USER	Add a new pet to the store	63	START	1593606404368	1593606404368
REQUEST	61		Verify pet to the store as per statushttps://petstore.swagger.io	1593606404175	1593606404378	OK	 
USER	Add a new pet to the store	61	END	1593606403366	1593606404382
REQUEST	62		Add a new pet to the storehttps://petstore.swagger.io	1593606403869	1593606404660	OK	 
USER	Add a new pet to the store	64	START	1593606404858	1593606404858
REQUEST	62		Verify pet to the store as per statushttps://petstore.swagger.io	1593606404665	1593606404862	OK	 
USER	Add a new pet to the store	62	END	1593606403867	1593606404866
REQUEST	63		Add a new pet to the storehttps://petstore.swagger.io	1593606404370	1593606405171	OK	 
USER	Add a new pet to the store	65	START	1593606405358	1593606405358
REQUEST	63		Verify pet to the store as per statushttps://petstore.swagger.io	1593606405173	1593606405372	OK	 
USER	Add a new pet to the store	63	END	1593606404368	1593606405374
REQUEST	64		Add a new pet to the storehttps://petstore.swagger.io	1593606404861	1593606405677	OK	 
USER	Add a new pet to the store	66	START	1593606405866	1593606405866
REQUEST	64		Verify pet to the store as per statushttps://petstore.swagger.io	1593606405678	1593606405883	OK	 
USER	Add a new pet to the store	64	END	1593606404858	1593606405891
REQUEST	65		Add a new pet to the storehttps://petstore.swagger.io	1593606405360	1593606406146	OK	 
REQUEST	65		Verify pet to the store as per statushttps://petstore.swagger.io	1593606406149	1593606406356	OK	 
USER	Add a new pet to the store	65	END	1593606405358	1593606406358
USER	Add a new pet to the store	67	START	1593606406369	1593606406369
REQUEST	66		Add a new pet to the storehttps://petstore.swagger.io	1593606405869	1593606406660	OK	 
USER	Add a new pet to the store	68	START	1593606406854	1593606406854
REQUEST	66		Verify pet to the store as per statushttps://petstore.swagger.io	1593606406662	1593606406859	OK	 
USER	Add a new pet to the store	66	END	1593606405866	1593606406862
REQUEST	67		Add a new pet to the storehttps://petstore.swagger.io	1593606406370	1593606407175	OK	 
USER	Add a new pet to the store	69	START	1593606407356	1593606407356
REQUEST	67		Verify pet to the store as per statushttps://petstore.swagger.io	1593606407177	1593606407377	OK	 
USER	Add a new pet to the store	67	END	1593606406369	1593606407378
REQUEST	68		Add a new pet to the storehttps://petstore.swagger.io	1593606406856	1593606407645	OK	 
REQUEST	68		Verify pet to the store as per statushttps://petstore.swagger.io	1593606407647	1593606407844	OK	 
USER	Add a new pet to the store	68	END	1593606406854	1593606407847
USER	Add a new pet to the store	70	START	1593606407870	1593606407870
REQUEST	69		Add a new pet to the storehttps://petstore.swagger.io	1593606407357	1593606408129	OK	 
REQUEST	69		Verify pet to the store as per statushttps://petstore.swagger.io	1593606408132	1593606408326	OK	 
USER	Add a new pet to the store	69	END	1593606407356	1593606408329
USER	Add a new pet to the store	71	START	1593606408364	1593606408364
REQUEST	70		Add a new pet to the storehttps://petstore.swagger.io	1593606407871	1593606408676	OK	 
USER	Add a new pet to the store	72	START	1593606408867	1593606408867
REQUEST	70		Verify pet to the store as per statushttps://petstore.swagger.io	1593606408683	1593606408883	OK	 
USER	Add a new pet to the store	70	END	1593606407870	1593606408887
REQUEST	71		Add a new pet to the storehttps://petstore.swagger.io	1593606408366	1593606409179	OK	 
USER	Add a new pet to the store	73	START	1593606409369	1593606409369
REQUEST	71		Verify pet to the store as per statushttps://petstore.swagger.io	1593606409181	1593606409383	OK	 
USER	Add a new pet to the store	71	END	1593606408364	1593606409385
REQUEST	72		Add a new pet to the storehttps://petstore.swagger.io	1593606408869	1593606409687	OK	 
USER	Add a new pet to the store	74	START	1593606409889	1593606409889
REQUEST	72		Verify pet to the store as per statushttps://petstore.swagger.io	1593606409689	1593606409903	OK	 
USER	Add a new pet to the store	72	END	1593606408867	1593606409905
REQUEST	73		Add a new pet to the storehttps://petstore.swagger.io	1593606409370	1593606410175	OK	 
REQUEST	73		Verify pet to the store as per statushttps://petstore.swagger.io	1593606410178	1593606410379	OK	 
USER	Add a new pet to the store	73	END	1593606409369	1593606410383
USER	Add a new pet to the store	75	START	1593606410385	1593606410385
REQUEST	74		Add a new pet to the storehttps://petstore.swagger.io	1593606409890	1593606410682	OK	 
USER	Add a new pet to the store	76	START	1593606410864	1593606410864
REQUEST	74		Verify pet to the store as per statushttps://petstore.swagger.io	1593606410684	1593606410880	OK	 
USER	Add a new pet to the store	74	END	1593606409889	1593606410883
REQUEST	75		Add a new pet to the storehttps://petstore.swagger.io	1593606410387	1593606411188	OK	 
USER	Add a new pet to the store	77	START	1593606411370	1593606411370
REQUEST	75		Verify pet to the store as per statushttps://petstore.swagger.io	1593606411191	1593606411391	OK	 
USER	Add a new pet to the store	75	END	1593606410385	1593606411394
REQUEST	76		Add a new pet to the storehttps://petstore.swagger.io	1593606410866	1593606411670	OK	 
USER	Add a new pet to the store	78	START	1593606411865	1593606411865
REQUEST	76		Verify pet to the store as per statushttps://petstore.swagger.io	1593606411673	1593606412142	OK	 
USER	Add a new pet to the store	76	END	1593606410864	1593606412145
